,userIdNo,contents,incitement,hate
0,1JAbX,"아버지가 화전민 출신이라고 비약 발언하신것 같은데, 큰 형님은 아버지님께서 영남대 법대 출신이라고 하신것같네요. 누가 거짓말 한건가요? 아버지를 지나치게 폄하, 비천한 화전민으로 몰고 간것은 아닌지 궁금하네요?",0,0
1,225c0,홍준표는 사쿠라네요ㆍ 🐕 정치26년의  더러운 공천거래꾼으로 전락했고   똥구녕꼰대정치꾼이다 퉤~~~~~~~~~더러운 놈,0,1
2,2IPbF,윤석열 부인보다  상습도박이  심각하지 않냐ㄷㄷ,0,0
3,2zFPp,끝까지 입만떨다가  끝나네 사람은제일많이죽었지싶다 대단하다,0,0
4,3u2X,안은 정치 그만둬야 서울시장  나올때  대선은  안 나온다고  공언  했는데  뭐냐 할때마다 약속을 안지키냐,0,0
5,2SWRj,국민세금으로 관저에서 결혼한 자식까지 생활하는게 맞냐? 왜? 청와대를 문가 문중 결혼식장으로  대여도 해주지??,0,0
6,3wgTS,사퇴 하지 마세요   정치적 멘탈이 그렇게 약해선 정치 못합니다 조동연씨 보다 더럽고 구린내 나는 인간들이 수두룩 합니다 그래도 사퇴 절대 안합니다,0,0
7,RDh1,날강도,0,0
8,5DERa,이죄명 두모녀살인범조카놈변호나하는사이코패스놈 흥분하는거보니대장동은죄명이꺼맞네 빼박이구먼 파렴치하고독사같은놈 되려명박이가더순진했구먼 그네는쨉도안되고,0,1
9,1FtCo,죄가 워낙 많으니..대선 안될까봐 무섭겠어요,0,0
10,1gw50,죄명이와 石(돌 석)열이의 대결,0,1
11,5Su3N,"야 최재형, 너 감사원장할때 문재인 감사 제대로 했으면 문재인이 지금 청와대에 있겟냐?너나 잘해",0,0
12,7kd9u,박찬수너도전과자이력잘알텐데 한심하다.,0,0
13,49XHY,그애비그자식DnA ㆍ세살버릇여든간다 ㆍ전과4범 여든더가서 무덤갈때까지 못고치는거겠지,0,1
14,Ym3p,"얘는 절대 대통령이 되어서는 안된다.
대통령되면 이나라 망한다.
남북관계 끝장ㅈ이다.전쟁난다.",0,0
15,bFdvl,문재인 특징 1. 이빨 다빠젔는데 앙하면 감옥안갈줄암. 2. 끝까지 몸짓부풀리기 귀여워 죽겠음. 3.국정원애들 이미 다 돌아섬 댓글 달아달라 사정함 매일,0,1
16,6kN63,"토론회에서 전국민이  다봤다~~특검 동의하십니까?? 
윤:.....",0,0
17,9vdDw,송영길이 진짜 쪽바리지,0,1
18,7XPmN,"안철수님 이번은 함께 해야 할듯 
윤과 함께 멸 콩
하시길",1,1
19,2OVah,어디 조동연만 하겠나! 뻐꾸기보다야 양호한것 아니냐! 함익병이는 임명도아닌 내저단계에서 철회했는데 무슨 사과? 원 별 미  ᆢ친 놈을 다 보겠네! 기자놈!,0,1
20,PxsI,반칙 끝판왕 장모와 김건희는 누구?,0,0
21,3kwNJ,조사 하는척 하다가 결론없이 끝내볼려고 시간 끄는구만...,0,0
22,1GVVk,"이양반 안되시것네... 과학기술만이 최고라고? 당신 집은 로봇이 만들어 주었는가? 왜 사람들이 장인이 손수 한땀 한땀 놓아 만든 옷들에 큰돈 주며 구입하는지 이해가 안되시것네... 저런자에게 대통령자리를 준다? 에잇, 생각하기도 싫다.",0,0
23,1Rx75,떠나는 인간들이 스텔스 깨문^^!??,0,0
24,21pwi,그만쫌하자...진짜 하는짓들이 3살짜리 꼬맹이들보다 못하냐 으휴...,0,0
25,NpKA,"이게 뭔놈의 억지로 하는 맨입사과로 끝날일인가???  신정아도 정경심은 줄리에 비하면 새발의 피인데도 이거저거 뒤집어씌워 감방 보내지 않았느냐!!!  그 기준대로면 줄리랑 장모랑 본인은 압색 수만번에 평생 감방에서 썩어가도 유구무언일텐데,  진짜 내로나물 오지는 집구석.
  공정과 상식???  나불거릴 자격 1도 없는 종자가 대선후보라니 망조다.",0,0
26,3Ufzm,하 이래도 지지해?? 진짜?? 반대를 위한 반대냐?? 나라가 어떻게 되던 말던 상대가 되는 꼴은 죽어도 안되는거냐??이유가 뭐야 대체 뭘 기대하길래 이 지경이냐 ㅎ,0,0
27,aaOk1,"윤총장님을 존경하고 지지합니다.
꼴보 몰아내고 더러운 좌빨들 물리쳐 주시고
맑고 공정한 대한민국 만들어 주십시요!^",1,1
28,1ZDrI,조국 표창장한장받았다고  아빠찬스라고 개거품무는 당 아니신가....ㅋ,0,1
29,1YhNM,"이준석 엄청 욕먹고있네ㅋㅋ근데 아저씨들 신지예 영입할때부터 이준석하고 틀어질거 이미 다 알고 있었잖아요. 신지예가 이준석의 대척점에 있는 사람인데 영입한거보면 이준석패싱한거 눈에 훤히 보이는거 아닌가요. 근데 '준석아 당대표니 니가 참았어야했다'가 맞아요? 난 이준석 얘기 틀린거 하나 없는거같은데... 이준석은 꾸준히 신지예를 복어독이라 해왔고,신지예 영입에서 2030남자(여자도 상당수)는 버린거나 다름없는데.윤석열이 버려놓고는 이준석탓을 하네ㅋㅋ",0,0
30,624Ur,썩을 놈들 가증스럽다,0,1
31,2ebvC,와 아주 법이 우습구만! 지들 입맛대로 막 바꾸라고 있는게법이냐! 저딴것들 선동과 조작에 속아 이 꼬라지! 싹 다 갈아엎어야한다,1,1
32,1y0Hd,"이런  인간들 에게  약자는  누가 약자일까~?
자기편~?
자기  이익이 될것 같은 부류와 분위기~?
한마디로  기회주의자가 아니면   살아남기 힘든 대한민국의  신유형의  기회주의자가  딱  정답일듯ㆍ",0,0
33,6susU,김경진은 국민의힘 당원임?ㅋㅋ,0,0
34,a1QnN,모든게  이준석  책임이지  아주  나쁜놈일세,0,0
35,4HNGf,그렇대고 자영업자들 여당 안 찍어요! 문제야 문제,0,0
36,radX,"머리가 나쁠 뿐 아니라 사악하기까지 한 돌쇠! 이념에 눈멀고 코드에 맛들이면, 이렇게 고학력에 번듯한 경력을 가진 멀쩡한 사람도 그저 불나방이 된 사람 &gt;&gt; 석동현",0,1
37,cWPjY,꼴보기싫다  나오지좀 말아라,0,1
38,dAvMM,ㅋㅋ 기사마다 댓글들보면 국민들 완전 분열되보이네 근데 홍은 현실을 얘기하는거지 저게 뒤끝은 아니지 ㅋ,0,0
39,1Wm25,참 주둥이 저렴하다,0,1
40,5XeI0,나라를 🐕 판으로만들고있네 🐕 죄명,0,1
41,V5oO,국모 뽑는것도 아니고 괜찮지 않나요? -국힘당-  조국딸은 안되지만 김건희는 괜찮지 않나요? -선택적분노 서울대학생들-,0,0
42,2AwN1,차라리 당신이 대통령하시오~~,0,0
43,2tAQa,윤석열 개짓거리 그만하고 진정 국민들 생각한다면 당장 사퇴해라!!!!  너로인해 정권교체 실패하면 책임지고 자살이라도 할래????,1,1
44,14SnO,당선 될 턱이 없으니 ㄱㅐ소리로 인정.,0,1
45,KLZo,얜 뭐야 ㅋㅋ,0,0
46,5sKPx,예견된 일. 국민의힘에 입당할  때  미래가 보였다. 당을 무시하고 떠떳하지 못하게 들어오더니...,0,0
47,d8f27,"때때때 말자체가 짜증나,  모든게 사기치는걸로 들림 입만박사 뒤로는 흉기숨긴 날강도로 보이는걸 어쩌라고?",0,1
48,1zlWG,나라 잘 돌아간다 누구를 위한 법일까..,0,0
49,1btaN,와 구라도 작작쳐라..;;,0,0
50,2JKGH,난 신세계만 이용할련다 앞으로 쭈욱 멸공,1,1
51,2e6qf,비천하면 합당한거냐???,0,0
52,hbYB,검찰총장 임명당시 청와대를 방문했기에 청와대 출강한게 맞다.,0,0
53,2aHd7,삼가고인의 명복을빕니다.,0,0
54,2zBTg,살인마가족   누나어들이면  니 아들이나 마찬가지다  어서  사퇴해라 니가 먼 대통령이냐  살인마가족 평생  구석에서 속죄하고 살아라,1,1
55,6busF,"하.., 기권해야되는건가… 우리나라에 인재가 이렇게 없냐 진짜;; 차라리 문국현 나오라그래",0,0
56,dPHHO,어디서 외워가지고 토론장에  면박주기. 저런 것을 토론 잘한다고?  구태네. 그나저나 소고기 카드깡은?,0,0
57,3nhPs,내60평생에 이런 지저분한 인간 첨보내....양재택에 김범수에 일반미에 500만원에....이렇게 더럽고 역겨운거 첨보네,0,1
58,djbtm,이런 아이를 검찰총장을 시켜준 문죄인과 더불당 책임이다.,0,1
59,VYly,패러디한 놈들  엿 먹어라,0,0
60,uXzw,좋게 생각하려다 오늘 보고 생각을 바꿨네...이전 토론은 안봤고 오늘 토론에서는 홍준표 늙다리 인증.,0,1
61,3EYHc,탈모약 보험적용해주고 보험료 올리면 조삼모사 아니냐?,0,0
62,2Lz6o,"참 열심히도 산다 ㅋ, 마누라까지 ㅎㅎ 희롱이도 집에 가면 골치 아프겠지?",0,0
63,1aQ18,민주당에서 승리 할 수 있는 후보는 오직 이낙연 뿐이다!,0,0
64,6iSs1,"이재명후보와 민주당지도부의 짜고치는
고스톱....이중풀레이 집워치우세요
국민들은 듣고 보는 눈이 다 있습니다",0,0
